League Id;Date;Home;Score Home;Away;Score Away;Type;Played;Overtime;Shootout;Game Id
0;2000-9-26;229;0;11;0;Pre-Season;0;0;0;19962
0;2000-9-26;5;0;22;0;Pre-Season;0;0;0;19974
0;2000-9-26;230;0;24;0;Pre-Season;0;0;0;19964
0;2000-9-26;220;0;0;0;Pre-Season;0;0;0;19966
0;2000-9-26;26;0;214;0;Pre-Season;0;0;0;19972
0;2000-9-26;16;0;224;0;Pre-Season;0;0;0;19968
0;2000-9-26;216;0;19;0;Pre-Season;0;0;0;19970
0;2000-9-28;19;0;0;0;Pre-Season;0;0;0;20016
0;2000-9-28;26;0;227;0;Pre-Season;0;0;0;20004
0;2000-9-28;25;0;230;0;Pre-Season;0;0;0;20002
0;2000-9-28;224;0;10;0;Pre-Season;0;0;0;20006
0;2000-9-28;221;0;16;0;Pre-Season;0;0;0;20012
0;2000-9-28;216;0;14;0;Pre-Season;0;0;0;20014
0;2000-9-28;15;0;9;0;Pre-Season;0;0;0;20010
0;2000-9-28;214;0;22;0;Pre-Season;0;0;0;20008
0;2000-9-28;8;0;5;0;Pre-Season;0;0;0;19988
0;2000-9-28;11;0;217;0;Pre-Season;0;0;0;19990
0;2000-9-28;23;0;12;0;Pre-Season;0;0;0;19992
0;2000-9-28;18;0;220;0;Pre-Season;0;0;0;20000
0;2000-9-28;20;0;3;0;Pre-Season;0;0;0;19996
0;2000-9-28;17;0;21;0;Pre-Season;0;0;0;19998
0;2000-9-28;24;0;229;0;Pre-Season;0;0;0;19994
0;2000-9-29;230;0;0;0;Pre-Season;0;0;0;20038
0;2000-9-29;229;0;224;0;Pre-Season;0;0;0;20036
0;2000-9-29;221;0;20;0;Pre-Season;0;0;0;20040
0;2000-9-29;10;0;18;0;Pre-Season;0;0;0;20042
0;2000-9-29;5;0;11;0;Pre-Season;0;0;0;20044
0;2000-9-29;12;0;3;0;Pre-Season;0;0;0;20046
0;2000-9-29;25;0;8;0;Pre-Season;0;0;0;20034
0;2000-9-29;214;0;26;0;Pre-Season;0;0;0;20020
0;2000-9-29;227;0;15;0;Pre-Season;0;0;0;20018
0;2000-9-29;22;0;24;0;Pre-Season;0;0;0;20022
0;2000-9-29;14;0;19;0;Pre-Season;0;0;0;20032
0;2000-9-29;16;0;23;0;Pre-Season;0;0;0;20024
0;2000-9-29;21;0;216;0;Pre-Season;0;0;0;20028
0;2000-9-29;217;0;17;0;Pre-Season;0;0;0;20030
0;2000-9-29;220;0;9;0;Pre-Season;0;0;0;20026
0;2000-10-4;8;0;214;0;Regular Season;0;0;0;18732
0;2000-10-4;15;0;217;0;Regular Season;0;0;0;18669
0;2000-10-4;220;0;26;0;Regular Season;0;0;0;18610
0;2000-10-4;17;0;25;0;Regular Season;0;0;0;18611
0;2000-10-4;230;0;12;0;Regular Season;0;0;0;18630
0;2000-10-4;9;0;229;0;Regular Season;0;0;0;18608
0;2000-10-4;19;0;21;0;Regular Season;0;0;0;18612
0;2000-10-4;10;0;14;0;Regular Season;0;0;0;18617
0;2000-10-4;3;0;20;0;Regular Season;0;0;0;19792
0;2000-10-4;5;0;221;0;Regular Season;0;0;0;18620
0;2000-10-5;22;0;0;0;Regular Season;0;0;0;18607
0;2000-10-5;11;0;26;0;Regular Season;0;0;0;18613
0;2000-10-5;25;0;217;0;Regular Season;0;0;0;18618
0;2000-10-5;24;0;216;0;Regular Season;0;0;0;18624
0;2000-10-5;224;0;227;0;Regular Season;0;0;0;19614
0;2000-10-5;5;0;18;0;Regular Season;0;0;0;18629
0;2000-10-5;8;0;23;0;Regular Season;0;0;0;18667
0;2000-10-5;21;0;15;0;Regular Season;0;0;0;18645
0;2000-10-5;20;0;16;0;Regular Season;0;0;0;18643
0;2000-10-6;229;0;9;0;Regular Season;0;0;0;18623
0;2000-10-6;214;0;23;0;Regular Season;0;0;0;18766
0;2000-10-6;24;0;16;0;Regular Season;0;0;0;18625
0;2000-10-6;221;0;216;0;Regular Season;0;0;0;18632
0;2000-10-6;18;0;227;0;Regular Season;0;0;0;18621
0;2000-10-6;19;0;11;0;Regular Season;0;0;0;18615
0;2000-10-6;14;0;22;0;Regular Season;0;0;0;18707
0;2000-10-6;3;0;230;0;Regular Season;0;0;0;18758
0;2000-10-6;224;0;220;0;Regular Season;0;0;0;18619
0;2000-10-6;10;0;17;0;Regular Season;0;0;0;18609
0;2000-10-7;25;0;8;0;Regular Season;0;0;0;19833
0;2000-10-7;17;0;3;0;Regular Season;0;0;0;18614
0;2000-10-7;221;0;229;0;Regular Season;0;0;0;18631
0;2000-10-7;10;0;20;0;Regular Season;0;0;0;18626
0;2000-10-7;12;0;26;0;Regular Season;0;0;0;18622
0;2000-10-7;0;0;21;0;Regular Season;0;0;0;18653
0;2000-10-8;24;0;227;0;Regular Season;0;0;0;18660
0;2000-10-8;9;0;19;0;Regular Season;0;0;0;18635
0;2000-10-8;217;0;14;0;Regular Season;0;0;0;18718
0;2000-10-8;12;0;220;0;Regular Season;0;0;0;18638
0;2000-10-8;16;0;5;0;Regular Season;0;0;0;18633
0;2000-10-8;0;0;8;0;Regular Season;0;0;0;18627
0;2000-10-8;224;0;216;0;Regular Season;0;0;0;18654
0;2000-10-8;20;0;230;0;Regular Season;0;0;0;18747
0;2000-10-8;23;0;22;0;Regular Season;0;0;0;18741
0;2000-10-8;25;0;18;0;Regular Season;0;0;0;18659
0;2000-10-8;15;0;214;0;Regular Season;0;0;0;19032
0;2000-10-9;214;0;3;0;Regular Season;0;0;0;19775
0;2000-10-9;16;0;17;0;Regular Season;0;0;0;18616
