Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
1405;3;737;13500;966;681;14;ES;2
1405;3;986;1251;13505;13594;23;ES;3
1405;3;998;13500;1784;966;14;ES;2
1407;2;170;1790;694;12391;11;ES;3
1407;2;386;11994;1588;1244;220;ES;1
1407;3;289;12034;13095;342;220;ES;3
1407;3;303;13095;12034;1588;220;ES;2
1407;3;1106;1104;1421;1369;220;ES, ENG;1
1407;3;1135;1104;12034;12137;220;ES;2
1407;3;1170;1866;13091;494;11;ES;2
1409;1;318;960;1635;13100;0;ES;2
1409;1;901;960;14094;13069;0;ES;3
1409;2;40;12411;1635;1810;0;ES;1
1409;2;278;855;12074;13012;21;PP;3
1409;2;402;14094;960;;0;ES;3
1409;2;926;12405;12474;1865;21;ES;3
1409;3;239;1810;14146;13100;0;PP;4
1411;1;395;13007;12414;15485;24;ES;1
1411;1;427;15485;13579;;24;PP;2
1411;1;915;15106;13593;1210;10;PP;1
1411;2;513;14033;13537;13579;24;PP;3
1411;2;588;14591;13097;338;10;ES;1
1413;1;227;14622;12540;13602;12;ES;3
1413;1;821;12067;;;217;ES;4
1413;1;1174;12459;1856;980;217;ES;2
1413;1;1200;1842;;;217;ES;4
1413;2;542;12496;12505;648;217;ES;2
1413;3;719;1842;12996;12067;217;ES;2
1413;3;936;11984;648;1856;217;ES;2
1415;2;705;14527;13525;12455;22;ES;4
1415;3;761;15476;15525;1173;224;ES;2
1417;2;162;1389;13066;599;214;PP;3
1417;2;729;12420;15013;12064;26;ES;3
1417;2;1150;12091;12420;13079;26;ES;3
1417;3;35;14598;1187;598;214;ES;3
1417;3;175;14053;13079;13625;26;ES;3
1417;3;361;599;1445;501;214;PP;4
1419;1;204;484;15516;16114;227;ES;3
1419;1;866;14562;15484;13075;227;ES;2
1419;2;28;556;13008;14990;9;ES;3
1419;2;1131;14990;13008;1084;9;PP;1
1419;3;40;15997;1802;484;227;ES;3
1419;3;74;12535;556;14988;9;ES;3
1421;1;191;12439;1651;12513;8;ES;2
1421;1;777;13497;14147;1864;8;PP;3
1421;2;70;1584;1598;1213;230;PP;1
1421;3;243;1094;12040;1086;230;ES;3
1421;3;586;13497;1864;14147;8;PP;3
1423;2;295;14777;14084;15019;15;ES;3
1423;2;346;15472;14084;14993;15;PP;1
1423;3;356;13081;12027;1260;216;PP;1
1423;3;1186;13103;1260;1565;216;PP;2
1423;OT1;96;15491;1260;13516;216;PP;3
1425;1;541;28;1258;14112;19;ES;3
1425;1;817;14969;16625;14493;3;ES;2
1425;1;926;339;13040;14515;19;ES;3
1425;2;290;1258;6;14112;19;ES;2
1425;3;543;13121;28;14112;19;ES;3
1427;1;1063;12508;691;509;20;ES;2
1427;1;1072;12022;13630;12425;20;ES;3
1427;2;384;12480;201;14056;18;ES;3
1427;2;419;1448;12489;1059;18;ES;4
1427;2;1155;691;12508;12079;20;ES;2
1427;3;748;509;691;;20;PP;3
1427;3;1180;470;13342;1391;20;ES, ENG;3
1429;2;484;1853;15500;14964;17;ES;3
1429;2;944;2;14533;15076;17;PP;4
1429;2;1070;14965;14549;;16;ES;4
1429;3;866;13078;14965;;16;SH;2
1431;1;534;49;832;15043;221;PP;3
1431;2;141;11997;14048;15043;221;ES;1
1431;2;1007;15043;13026;13014;221;ES;3
1431;3;119;15043;12081;832;221;ES;4
1431;3;259;1091;12002;12025;229;ES;3
1431;3;386;12080;1167;16001;229;ES;2
1431;3;580;1091;12025;13032;229;ES;3
1433;1;188;12488;691;1391;20;ES;4
1433;1;579;470;12425;;20;ES;3
1433;1;712;14562;14051;15484;227;ES;3
1433;2;60;509;691;12508;20;ES;3
1433;2;235;12508;;;20;ES;3
1433;2;1127;509;12508;12079;20;ES;3
1435;1;1;12455;;;22;ES;1
1435;1;40;1497;14527;12455;22;ES;1
1435;1;1104;134;985;;18;PP;1
1435;3;286;12455;12515;14527;22;PP;3
1435;3;1189;12455;14080;13600;22;ES, ENG;2
1437;1;78;14107;15013;14525;26;ES;3
1437;1;607;598;599;12991;214;ES;2
1437;1;1141;15013;12420;13071;26;ES;2
1437;2;100;14598;1667;1389;214;ES;3
1437;2;355;598;1437;501;214;PP;1
1437;2;373;13533;12404;1445;214;ES;1
1437;2;431;14107;14525;15013;26;ES;4
1437;2;456;14107;13079;14525;26;ES;3
1437;2;1086;1445;12436;217;214;ES;1
1437;2;1194;501;1389;13066;214;ES;3
1437;3;1173;12404;12991;1187;214;ES, ENG;2
1439;2;558;359;12080;13408;229;ES;3
