League Id;Date;Home;Score Home;Away;Score Away;Type;Played;Overtime;Shootout;Game Id
0;1970-11-3;5;4;119;0;Regular Season;1;0;0;9718
0;1970-11-3;9;4;131;1;Regular Season;1;0;0;9743
0;1970-11-3;121;4;130;2;Regular Season;1;0;0;9710
0;1970-11-3;122;4;3;6;Regular Season;1;0;0;9713
0;1970-11-4;8;4;119;0;Regular Season;1;0;0;9808
0;1970-11-4;10;9;118;1;Regular Season;1;0;0;10087
0;1970-11-5;123;3;3;3;Regular Season;1;0;0;9719
0;1970-11-5;9;3;0;1;Regular Season;1;0;0;9756
0;1970-11-5;118;3;131;4;Regular Season;1;0;0;9845
0;1970-11-5;5;1;130;1;Regular Season;1;0;0;9724
0;1970-11-5;121;1;120;4;Regular Season;1;0;0;9722
0;1970-11-6;10;5;0;4;Regular Season;1;0;0;9843
0;1970-11-6;122;2;120;2;Regular Season;1;0;0;9723
0;1970-11-6;123;4;121;2;Regular Season;1;0;0;9726
0;1970-11-6;130;1;131;4;Regular Season;1;0;0;9731
0;1970-11-7;122;1;118;1;Regular Season;1;0;0;10181
0;1970-11-7;8;7;9;3;Regular Season;1;0;0;9777
0;1970-11-7;119;2;3;5;Regular Season;1;0;0;9734
0;1970-11-8;3;2;9;1;Regular Season;1;0;0;10196
0;1970-11-8;131;1;130;3;Regular Season;1;0;0;10176
0;1970-11-9;130;1;131;1;Regular Season;1;0;0;9754
0;1970-11-9;119;0;118;3;Regular Season;1;0;0;9836
0;1970-11-9;8;1;0;0;Regular Season;1;0;0;10008
0;1970-11-9;120;6;123;0;Regular Season;1;0;0;9730
0;1970-11-9;122;3;121;3;Regular Season;1;0;0;9748
0;1970-11-10;121;0;123;4;Regular Season;1;0;0;9732
0;1970-11-10;9;6;118;2;Regular Season;1;0;0;9785
0;1970-11-10;3;6;119;2;Regular Season;1;0;0;9736
0;1970-11-10;8;6;122;1;Regular Season;1;0;0;10192
0;1970-11-10;0;4;5;1;Regular Season;1;0;0;9725
0;1970-11-11;10;1;130;2;Regular Season;1;0;0;9751
0;1970-11-12;131;4;122;1;Regular Season;1;0;0;9770
0;1970-11-12;123;5;119;0;Regular Season;1;0;0;10016
0;1970-11-12;118;2;121;6;Regular Season;1;0;0;9749
0;1970-11-12;5;1;10;2;Regular Season;1;0;0;9729
0;1970-11-12;8;1;130;3;Regular Season;1;0;0;9759
0;1970-11-13;8;4;119;1;Regular Season;1;0;0;9850
0;1970-11-13;3;1;120;1;Regular Season;1;0;0;9714
0;1970-11-13;5;2;9;2;Regular Season;1;0;0;9733
0;1970-11-14;3;5;0;3;Regular Season;1;0;0;9827
0;1970-11-14;123;3;10;6;Regular Season;1;0;0;9755
0;1970-11-14;131;2;9;1;Regular Season;1;0;0;9806
0;1970-11-14;122;4;120;1;Regular Season;1;0;0;9735
0;1970-11-16;8;3;120;4;Regular Season;1;0;0;9764
0;1970-11-16;5;2;121;2;Regular Season;1;0;0;9739
