season,award_name,player_id,team_id,staff_id,notes
1944-45,CONN SMYTHE TROPHY,202,,,
1944-45,HART TROPHY,0,,,
1944-45,JACK ADAMS TROPHY,,3,,unresolved_player=Skyler
1944-45,WILLIAM JENNINGS  TROPHY,69,,,
1944-45,TED LINDSAY  TROPHY,0,,,
1945-46,VEZINA TROPHY,325,,,
1945-46,LADY BYNG TROPHY,77,,,
1945-46,CONN SMYTHE TROPHY,2239,,,
1945-46,HART TROPHY,471,,,
1945-46,JACK ADAMS TROPHY,,9,,unresolved_player=Ember
1945-46,WILLIAM JENNINGS  TROPHY,325,,,
1945-46,TED LINDSAY  TROPHY,471,,,
1946-47,VEZINA TROPHY,69,,,
1946-47,LADY BYNG TROPHY,88,,,
1946-47,CONN SMYTHE TROPHY,396,,,
1946-47,HART TROPHY,471,,,
1946-47,JACK ADAMS TROPHY,1838,0,51,
1946-47,WILLIAM JENNINGS  TROPHY,458,,,
1946-47,TED LINDSAY  TROPHY,471,,,
1947-48,VEZINA TROPHY,458,,,
1947-48,LADY BYNG TROPHY,396,,,
1947-48,CONN SMYTHE TROPHY,436,,,
1947-48,HART TROPHY,2831,,,
1947-48,JACK ADAMS TROPHY,1838,0,51,
1947-48,WILLIAM JENNINGS  TROPHY,458,,,
1947-48,TED LINDSAY  TROPHY,2831,,,
1948-49,VEZINA TROPHY,458,,,
1948-49,LADY BYNG TROPHY,2845,,,
1948-49,CONN SMYTHE TROPHY,501,,,
1948-49,HART TROPHY,511,,,
1948-49,JACK ADAMS TROPHY,,3,,unresolved_player=Skyler
1948-49,WILLIAM JENNINGS  TROPHY,458,,,
1948-49,TED LINDSAY  TROPHY,511,,,
1949-50,VEZINA TROPHY,2961,,,
1949-50,LADY BYNG TROPHY,498,,,
1949-50,CONN SMYTHE TROPHY,190,,,
1949-50,HART TROPHY,2831,,,
1949-50,JACK ADAMS TROPHY,1606,10,56,
1949-50,WILLIAM JENNINGS  TROPHY,458,,,
1949-50,TED LINDSAY  TROPHY,2831,,,
1950-51,VEZINA TROPHY,2961,,,
1950-51,LADY BYNG TROPHY,501,,,
1950-51,CONN SMYTHE TROPHY,501,,,
1950-51,HART TROPHY,2831,,,
1950-51,JACK ADAMS TROPHY,,8,,unresolved_player=OilEmpire
1950-51,WILLIAM JENNINGS  TROPHY,439,,,complex_winner=Chuck Rayner / Glenn Hall; unresolved_player=Chuck Rayner / Glenn Hall
1950-51,TED LINDSAY  TROPHY,2831,,,
1951-52,VEZINA TROPHY,3139,,,
1951-52,LADY BYNG TROPHY,2945,,,
1951-52,CONN SMYTHE TROPHY,2700,,,unresolved_player=Wally Hergeshimer
1951-52,HART TROPHY,2831,,,
1951-52,JACK ADAMS TROPHY,,3,,unresolved_player=Skyler
