season,team,slot,position,player_id,team_id,notes
1962-63,2,5,Center,3885,5,
1962-63,2,6,Right Wing,3318,121,
1963-64,1,1,Goal,2961,9,
1963-64,1,2,Defence,3061,-1,
1963-64,1,3,Defence,4756,0,
1963-64,1,4,Left Wing,4146,5,
1963-64,1,5,Center,3885,5,
1963-64,1,6,Right Wing,4365,3,
1963-64,2,1,Goal,3679,121,
1963-64,2,2,Defence,3450,3,
1963-64,2,3,Defence,3349,-1,
1963-64,2,4,Left Wing,4060,0,
1963-64,2,5,Center,3131,3,
1963-64,2,6,Right Wing,2831,10,
1964-65,1,1,Goal,4343,5,
1964-65,1,2,Defence,3349,-1,
1964-65,1,3,Defence,3337,5,
1964-65,1,4,Left Wing,4146,5,
1964-65,1,5,Center,3885,5,
1964-65,1,6,Right Wing,2831,10,
1964-65,2,1,Goal,2961,9,
1964-65,2,2,Defence,3337,5,
1964-65,2,3,Defence,3153,-1,
1964-65,2,4,Left Wing,4060,0,
1964-65,2,5,Center,4601,3,
1964-65,2,6,Right Wing,3136,123,
1965-66,1,1,Goal,4142,120,
1965-66,1,2,Defence,4041,3,
1965-66,1,3,Defence,3337,5,
1965-66,1,4,Left Wing,4475,3,
1965-66,1,5,Center,3885,5,
1965-66,1,6,Right Wing,4365,3,
1965-66,2,1,Goal,4735,3,
1965-66,2,2,Defence,3450,3,
1965-66,2,3,Defence,4483,9,
1965-66,2,4,Left Wing,4146,5,
1965-66,2,5,Center,3131,3,
1965-66,2,6,Right Wing,2831,10,
1966-67,1,1,Goal,4735,3,
1966-67,1,2,Defence,4041,3,
1966-67,1,3,Defence,3856,121,
1966-67,1,4,Left Wing,4146,5,
1966-67,1,5,Center,4601,3,
1966-67,1,6,Right Wing,2831,10,
1966-67,2,1,Goal,4343,5,
1966-67,2,2,Defence,3337,5,
1966-67,2,3,Defence,4373,5,
1966-67,2,4,Left Wing,4475,3,
1966-67,2,5,Center,3885,5,
1966-67,2,6,Right Wing,3318,121,
1967-68,1,1,Goal,4960,0,
1967-68,1,2,Defence,4041,3,
1967-68,1,3,Defence,4044,5,
1967-68,1,4,Left Wing,4060,0,
1967-68,1,5,Center,4601,3,
1967-68,1,6,Right Wing,2831,10,
1967-68,2,1,Goal,4735,3,
1967-68,2,2,Defence,4377,3,
1967-68,2,3,Defence,3450,3,
1967-68,2,4,Left Wing,4475,3,
1967-68,2,5,Center,3885,5,
1967-68,2,6,Right Wing,4365,3,
