PlayerId;DraftId;Year;Round;Pick;Overall;Tam;Picked From
3439;0;1951;1;5;5;8;57
3563;0;1952;2;4;10;3;57
3328;0;1950;1;3;3;8;57
3440;0;1951;3;3;15;10;57
3564;0;1952;2;2;8;0;57
3883;0;1954;1;2;2;5;57
3565;0;1952;1;1;1;8;57
3566;0;1952;4;1;19;8;57
5087;1;1963;3;4;16;5;-1
5253;5;1967;3;6;30;118;89
4624;0;1960;4;1;19;3;57
4957;0;1962;2;1;7;8;57
4626;0;1960;3;4;16;10;57
4627;0;1960;2;3;9;8;57
4958;0;1962;4;5;23;10;57
4959;0;1962;2;3;9;3;59
4628;0;1960;2;6;12;5;57
3682;0;1953;3;6;18;8;57
3885;0;1954;1;1;1;5;57
3441;0;1951;3;2;14;5;57
3683;0;1953;4;4;22;3;57
5088;2;1964;3;2;14;10;84
3684;0;1953;4;5;23;10;89
3972;0;1955;1;6;6;9;57
5089;1;1963;3;3;15;3;89
4373;0;1958;2;6;12;5;57
4960;0;1962;1;6;6;0;57
5090;1;1963;1;1;1;8;-1
4079;0;1955;2;1;7;5;59
4374;0;1958;1;6;6;5;57
3886;0;1954;4;3;21;10;57
4962;0;1962;1;4;4;5;57
5438;5;1967;1;9;9;0;83
5439;4;1966;2;3;9;10;84
4376;0;1958;1;2;2;9;57
5092;1;1963;2;3;9;3;-1
3140;0;1949;4;6;24;0;57
3141;0;1949;4;3;21;9;57
3446;0;1951;3;1;13;3;57
3567;0;1952;2;3;9;5;57
3974;0;1955;4;5;23;0;57
3569;0;1952;4;2;20;0;57
4377;0;1958;2;1;7;3;57
3977;0;1954;4;4;22;3;59
3447;0;1951;3;4;16;0;57
4378;0;1958;2;2;8;9;57
5443;4;1966;3;2;14;0;83
4379;0;1958;4;6;24;5;57
3685;0;1953;1;6;6;8;57
3888;0;1954;3;5;17;8;57
3889;0;1954;3;2;14;5;57
4380;0;1958;3;2;14;9;57
5093;1;1963;4;6;24;10;-1
4964;0;1962;4;6;24;0;57
5444;3;1965;2;4;10;8;84
4762;0;1961;3;6;18;5;57
5257;5;1967;1;12;12;9;89
3890;0;1953;1;4;4;3;59
3891;0;1953;2;4;10;3;59
5445;3;1965;2;6;12;5;89
5094;2;1964;1;3;3;9;85
3573;0;1952;2;5;11;10;57
3450;0;1951;1;1;1;3;57
4381;0;1958;3;4;16;10;57
5447;3;1965;1;2;2;8;85
5096;1;1963;1;5;5;0;-1
3452;0;1951;1;4;4;0;57
3688;0;1953;2;5;11;10;57
3455;0;1951;1;3;3;10;57
3691;0;1953;2;2;8;9;57
3693;0;1953;3;4;16;3;57
3333;0;1950;3;2;14;5;57
3145;0;1949;2;3;9;9;57
3335;0;1950;4;3;21;8;57
3694;0;1953;2;1;7;5;57
3457;0;1951;4;4;22;0;57
3337;0;1950;1;1;1;3;57
3578;0;1952;4;4;22;3;57
3148;0;1949;4;5;23;3;57
3338;0;1950;3;6;18;10;57
3460;0;1951;1;6;6;9;57
3151;0;1949;3;1;13;8;57
3695;0;1953;1;1;1;5;57
3154;0;1949;3;4;16;5;57
3155;0;1949;3;3;15;9;57
3343;0;1950;4;5;23;9;57
3158;0;1949;1;5;5;3;59
3162;0;1948;4;2;20;3;57
3345;0;1950;1;6;6;10;57
3696;0;1953;1;3;3;0;57
3899;0;1953;4;2;20;9;89
3347;0;1950;2;4;10;0;57
4091;0;1955;4;6;24;9;89
3702;0;1952;3;6;18;9;59
3588;0;1951;4;6;24;9;60
3476;0;1950;2;5;11;9;89
3590;0;1951;4;1;19;3;89
3478;0;1950;3;5;17;9;89
3710;0;1952;4;3;21;5;89
3991;0;1954;4;2;20;5;89
3711;0;1952;1;3;3;5;89
2826;0;1946;2;2;8;10;57
3992;0;1954;2;2;8;5;89
3717;0;1952;4;6;24;9;89
4000;0;1954;4;6;24;0;88
3050;0;1948;3;2;14;3;57
4763;0;1961;3;5;17;0;57
5097;1;1963;3;2;14;9;-1
4391;0;1957;3;1;13;5;89
4008;0;1954;4;5;23;8;57
5258;2;1964;4;1;19;8;84
4009;0;1954;4;1;19;9;89
3168;0;1948;2;6;12;9;89
5449;4;1966;2;2;8;0;84
5450;5;1967;3;2;26;119;84
5451;5;1967;3;11;35;3;89
5260;3;1965;1;5;5;9;89
4396;0;1957;4;1;19;5;89
5454;5;1967;3;3;27;122;83
5455;5;1967;2;5;17;119;84
5262;5;1967;2;11;23;3;90
5263;5;1967;1;8;8;10;90
4765;0;1961;4;4;22;8;57
5102;2;1964;3;4;16;0;84
5458;5;1967;1;4;4;120;89
5680;4;1966;2;1;7;8;85
5265;3;1965;1;1;1;0;84
4768;0;1961;2;1;7;3;57
5105;2;1964;3;3;15;9;84
5106;2;1964;2;2;8;10;85
5461;4;1966;1;3;3;10;84
5465;5;1967;2;9;21;0;84
5466;5;1967;2;6;18;118;83
5268;5;1967;3;4;28;120;90
5107;2;1964;1;4;4;0;85
4221;0;1957;4;5;23;0;57
4225;0;1957;4;3;21;8;57
