LeagueId;Year;Award Name;Award Description;PlayerId;Retired
8;2012;Jarmo Wasama Trophy ;Best Rookie;9033;0
8;2013;Jarmo Wasama Trophy ;Best Rookie;11153;0
8;2014;Jarmo Wasama Trophy ;Best Rookie;11185;0
8;2015;Jarmo Wasama Trophy ;Best Rookie;16438;0
8;2017;Jarmo Wasama Trophy ;Best Rookie;16410;0
8;2018;Jarmo Wasama Trophy ;Best Rookie;3369;0
8;2020;Jarmo Wasama Trophy ;Best Rookie;16374;0
8;2022;Jarmo Wasama Trophy ;Best Rookie;13882;0
8;2024;Jarmo Wasama Trophy ;Best Rookie;10392;0
8;2009;Aarne Honkavaara Trophy;Most Goals;8399;0
8;2011;Aarne Honkavaara Trophy;Most Goals;7342;0
8;2013;Aarne Honkavaara Trophy;Most Goals;9022;0
8;2014;Aarne Honkavaara Trophy;Most Goals;9022;0
8;2016;Aarne Honkavaara Trophy;Most Goals;7334;0
8;2017;Aarne Honkavaara Trophy;Most Goals;8944;0
8;2018;Aarne Honkavaara Trophy;Most Goals;2203;0
8;2019;Aarne Honkavaara Trophy;Most Goals;15335;0
8;2021;Aarne Honkavaara Trophy;Most Goals;15391;0
8;2022;Aarne Honkavaara Trophy;Most Goals;14703;0
8;2023;Aarne Honkavaara Trophy;Most Goals;11190;0
8;2024;Aarne Honkavaara Trophy;Most Goals;8922;0
8;2009;Veli-Pekka Ketola Trophy;Most Points;8404;0
8;2011;Veli-Pekka Ketola Trophy;Most Points;8970;0
8;2016;Veli-Pekka Ketola Trophy;Most Points;11312;0
8;2017;Veli-Pekka Ketola Trophy;Most Points;14844;0
8;2018;Veli-Pekka Ketola Trophy;Most Points;2203;0
8;2019;Veli-Pekka Ketola Trophy;Most Points;1602;0
8;2021;Veli-Pekka Ketola Trophy;Most Points;15391;0
8;2022;Veli-Pekka Ketola Trophy;Most Points;14868;0
8;2023;Veli-Pekka Ketola Trophy;Most Points;7937;0
8;2010;Matti Keinonen Trophy;Highest Plus-Minus;7467;0
8;2012;Matti Keinonen Trophy;Highest Plus-Minus;7401;0
8;2013;Matti Keinonen Trophy;Highest Plus-Minus;8940;0
8;2014;Matti Keinonen Trophy;Highest Plus-Minus;7427;0
8;2015;Matti Keinonen Trophy;Highest Plus-Minus;15350;0
8;2016;Matti Keinonen Trophy;Highest Plus-Minus;11335;0
8;2017;Matti Keinonen Trophy;Highest Plus-Minus;8944;0
8;2018;Matti Keinonen Trophy;Highest Plus-Minus;10174;0
8;2020;Matti Keinonen Trophy;Highest Plus-Minus;8786;0
8;2022;Matti Keinonen Trophy;Highest Plus-Minus;3366;0
8;2009;Raimo Kilpiö Trophy;Sportsmanship Award;7368;0
8;2020;Raimo Kilpiö Trophy;Sportsmanship Award;11329;0
8;2022;Raimo Kilpiö Trophy;Sportsmanship Award;7464;0
8;2023;Raimo Kilpiö Trophy;Sportsmanship Award;9043;0
8;2024;Raimo Kilpiö Trophy;Sportsmanship Award;9027;0
