Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
44175;3394;24;0;0;0;0;.00nan;0;0
44177;695;23;61;31;3;28;.903;3600000;0
44177;2646;17;57;35;4;31;.886;3545000;0
44177;2721;17;0;0;0;0;.00nan;0;0
44177;5024;23;0;0;0;0;.00nan;0;0
44179;1190;26;0;0;0;0;.00nan;0;0
44179;1258;14;90;20;0;20;1.000;3600000;0
44179;2805;26;84;61;5;56;.918;3600000;0
44179;4788;14;0;0;0;0;.00nan;0;0
44181;644;9;70;24;2;22;.917;3547000;0
44181;852;9;0;0;0;0;.00nan;0;0
44181;1278;12;100;45;0;45;1.000;3600000;0
44181;1498;12;0;0;0;0;.00nan;0;0
44183;679;19;60;38;5;33;.868;3600000;0
44183;695;23;0;0;0;0;.00nan;0;0
44183;846;19;0;0;0;0;.00nan;0;0
44183;5024;23;98;34;1;33;.971;3600000;0
44185;671;20;0;0;0;0;.00nan;0;0
44185;3395;25;0;0;0;0;.00nan;0;0
44185;4437;20;31;26;5;21;.808;3600000;0
44185;4550;25;100;37;0;37;1.000;3600000;0
44187;961;0;70;24;2;22;.917;3600000;0
44187;1247;11;37;20;4;16;.800;1748000;0
44187;4342;0;0;0;0;0;.00nan;0;0
44187;4776;11;55;31;3;28;.903;1852000;0
44189;662;8;0;0;0;0;.00nan;0;0
44189;1151;8;69;39;5;34;.872;3600000;0
44189;1410;278;87;29;1;28;.966;3600000;0
44189;4804;278;0;0;0;0;.00nan;0;0
44191;868;22;86;42;4;38;.905;3855000;0
44191;898;10;64;27;3;24;.889;3855000;0
44191;1381;10;0;0;0;0;.00nan;0;0
44191;4785;22;0;0;0;0;.00nan;0;0
44193;435;24;79;29;2;27;.931;3600000;0
44193;2562;21;48;38;6;32;.842;3600000;0
44193;3394;24;0;0;0;0;.00nan;0;0
44193;5252;21;0;0;0;0;.00nan;0;0
44195;145;280;0;0;0;0;.00nan;0;0
44195;442;18;40;30;5;25;.833;3516000;0
44195;964;280;89;44;3;41;.932;3600000;0
44195;2414;18;0;0;0;0;.00nan;0;0
44197;229;279;91;42;3;39;.929;3563000;0
44197;432;15;59;18;2;16;.889;3600000;0
44197;510;15;0;0;0;0;.00nan;0;0
44197;2563;279;0;0;0;0;.00nan;0;0
44199;223;16;26;6;3;3;.500;362000;0
44199;252;16;41;40;6;34;.850;3238000;0
44199;2646;17;0;0;0;0;.00nan;0;0
44199;2721;17;61;23;2;21;.913;3600000;0
44201;523;3;0;0;0;0;.00nan;0;0
44201;1087;3;9;28;8;20;.714;3600000;0
44201;1412;5;99;42;1;41;.976;3600000;0
44201;4354;5;0;0;0;0;.00nan;0;0
