Year,Team ID,Team Name Override,Conference ID,Conference Override,Division ID,Division Override,Logo File Override,GP,W,L,T (OTL),PTS,GF,GA,Goal Differential,Result,PIM/G,PPG,PPG Against,PP Ch,SHG,SHG Against,SHC,PP%,PK%,Shots For,Shots Against
1982-83,24,,0,,1,,,80,52,19,9,113,411,239,172,Lost Conference Quarter-Finals,16.2,67,41,298,16,11,321,22.5,87.2,2772,2065
1982-83,278,,0,,1,,,80,40,25,15,95,328,282,46,Lost Conference Quarter-Finals,15.13,48,52,261,12,13,269,18.4,80.7,2208,2316
1982-83,3,,0,,1,,,80,33,34,13,79,321,345,-24,Lost Conference Quarter-Finals,17.27,69,38,317,19,7,292,21.8,87,2520,2324
1982-83,10,,0,,1,,,80,33,37,10,76,285,302,-17,Lost Conference Finals,17.31,49,44,330,10,12,315,14.8,86,2314,2342
1982-83,23,,0,,1,,,80,21,51,8,50,212,318,-106,Missed Playoffs,16.2,28,47,333,15,14,297,8.4,84.2,1882,2296
1982-83,19,,0,,1,,,80,12,59,9,33,230,400,-170,Missed Playoffs,21.54,46,68,337,8,12,390,13.6,82.6,2104,2882
1982-83,15,,1,,0,,,80,52,22,6,110,384,253,131,Lost Conference Quarter-Finals,15.32,56,62,314,9,10,309,17.8,79.9,2544,2070
1982-83,9,,1,,0,,,80,35,33,12,82,363,329,34,Lost Conference Semi-Finals,17.39,64,59,302,2,5,300,21.2,80.3,2259,2494
1982-83,0,,1,,0,,,80,35,36,9,79,316,326,-10,Lost Conference Quarter-Finals,15.43,40,66,288,19,12,305,13.9,78.4,2502,2354
1982-83,12,,1,,0,,,80,32,36,12,76,264,299,-35,Lost Conference Finals,17.51,38,45,279,14,4,292,13.6,84.6,2219,2265
1982-83,22,,1,,0,,,80,33,38,9,75,340,341,-1,Missed Playoffs,14.91,52,56,319,13,10,321,16.3,82.6,2705,2667
1982-83,279,,1,,0,,,80,30,38,12,72,287,309,-22,Missed Playoffs,17.31,55,57,311,14,7,332,17.7,82.8,2599,2502
1982-83,18,,1,,1,,,80,54,18,8,116,386,252,134,Lost Cup Finals,15.32,70,55,350,15,3,306,20,82,2813,2228
1982-83,11,,1,,1,,,80,39,29,12,90,354,321,33,Lost Conference Semi-Finals,15.81,59,57,313,19,10,328,18.8,82.6,2486,2603
1982-83,8,,1,,1,,,80,33,35,12,78,324,358,-34,Lost Conference Quarter-Finals,15.22,60,48,326,8,23,302,18.4,84.1,2429,2556
1982-83,280,,1,,1,,,80,30,46,4,64,291,337,-46,Lost Conference Quarter-Finals,14.39,40,61,299,6,6,281,13.4,78.3,2392,2464
