Game Id;PlayerId;TeamId;Game Rating;Game Rating Off;Game Rating Def;G;A;+/-;SOG;MS;BS;PIM;HT;TK;GV;SHF;TOT;PP;SH;EV;FOW;FOL;FO%;Team Shots on;Team Shots Against on;Team Shots Missed on;Team Shots Missed Against on;Team Shots Blocked on;Team Shots Blocked Against on;Team Goals on;Team Goal Against on;Team Shots off;Team Shots Against off;Team Shots Missed off;Team Shots Missed Against off;Team Shots Blocked off;Team Shots Blocked Against off;Team Goals off;Team Goal Against off;OZ Starts;NZ Starts;DZ Starts;Team OZ Starts;Team NZ Starts;Team DZ Starts;SQ0;SQ1;SQ2;SQ3;SQ4
36563;1058;284;54.5333;59.9;42.6;0;0;-1;1;1;0;0;0;1;1;21;1021;0;247;774;2;1;66.7;8;8;2;1;0;1;1;2;21;32;7;8;8;10;4;2;10;8;6;33;22;26;0;2;0;0;0
36563;1095;285;65.5;72;58.2;0;1;0;4;0;0;0;3;0;0;24;1019;303;20;696;0;2;0.0;12;4;5;1;6;1;1;1;28;25;4;8;5;7;3;4;9;4;13;26;22;33;0;3;0;0;1
36563;1114;285;52.275;58.6;48;0;1;0;4;0;0;0;0;1;0;15;698;0;116;582;1;1;50.0;12;2;5;1;6;1;1;1;28;27;4;8;5;7;3;4;8;5;6;26;22;33;0;3;0;1;0
36563;1129;285;68.4;72.7;62.9;1;1;2;8;2;0;2;0;0;0;22;1175;281;96;798;0;0;0;13;4;4;2;4;1;2;0;27;25;5;7;7;7;2;5;3;6;12;26;22;33;0;5;2;2;1
36563;1472;285;57.1;59;50.4;0;0;2;3;1;0;0;1;0;0;19;1012;0;20;992;1;1;50.0;7;7;2;1;2;0;2;0;33;22;7;8;9;8;2;5;5;7;5;26;22;33;0;3;0;0;1
36563;1478;284;50.325;52.2;50;0;0;0;0;0;0;2;0;0;0;10;416;0;7;409;0;1;0.0;0;6;0;1;1;3;0;0;29;34;9;8;7;8;5;4;5;0;1;33;22;26;0;0;0;0;0
36563;1545;284;47.975;46.2;43.6;0;0;-1;0;0;0;0;2;0;2;11;543;0;78;465;0;2;0.0;0;8;0;1;2;3;0;1;29;32;9;8;6;8;5;3;5;0;1;33;22;26;0;0;0;0;0
36563;1548;285;49.65;62.8;37.7;0;2;-2;3;0;0;0;0;1;0;8;515;0;0;515;6;8;42.9;6;7;0;3;1;1;1;3;34;22;9;6;10;7;3;2;3;8;6;26;22;33;0;1;1;1;0
36563;2120;285;69.1143;70.6;57;0;1;0;3;0;0;7;3;0;0;16;765;131;0;634;9;8;52.9;14;2;5;1;6;1;1;1;26;27;4;8;5;7;3;4;8;3;11;26;22;33;0;0;3;0;0
36563;2247;284;74.9;67.1;80.4;1;1;3;7;0;1;0;2;0;1;24;1096;0;222;874;0;0;0;15;10;2;3;3;2;3;0;14;30;7;6;5;9;2;4;12;6;5;33;22;26;1;4;1;2;0
36563;2311;284;74;76;61;1;1;1;3;1;3;0;1;0;2;28;1241;162;0;1079;3;2;60.0;8;14;4;4;2;3;3;2;21;26;5;5;6;8;2;2;5;8;9;33;22;26;2;2;1;1;1
