PlayerId;DraftId;Year;Round;Pick;Overall;Tam;Picked From
1161;0;1976;5;10000;73;22;-1
1161;40;1976;6;10000;66;42;-1
1161;16;1981;2;6;30;16;180
1163;16;1980;7;19;163;24;179
1165;0;1978;2;10000;19;12;-1
1170;0;1977;8;10000;135;14;-1
1174;0;1971;9;10000;111;10;-1
1177;0;1974;14;10000;214;20;-1
1179;0;1979;4;10000;64;21;-1
1181;0;1973;9;10000;142;5;-1
1189;16;1980;7;13;157;16;179
1190;16;1980;1;9;9;26;181
1192;0;1977;11;10000;163;9;-1
1197;0;1977;11;10000;167;0;-1
1206;0;1979;1;10000;14;14;-1
1209;16;1980;2;4;28;11;180
1213;0;1973;12;10000;167;0;-1
1213;40;1973;5;10000;64;29;-1
1214;16;1980;4;8;80;23;180
1218;16;1980;3;16;64;279;180
1225;0;1979;5;10000;102;24;-1
1229;0;1972;1;10000;2;19;-1
1230;0;1973;1;10000;11;9;-1
1230;16;1980;4;1;73;18;179
1236;0;1975;3;10000;54;14;-1
1236;40;1975;11;10000;147;40;-1
1242;16;1980;9;8;200;23;179
1245;16;1980;4;22;94;0;180
1249;16;1980;3;5;53;9;181
1250;16;1980;1;21;21;17;180
-1;16;1982;8;21;189;18;-1
1259;16;1980;8;13;181;16;180
1267;0;1972;2;10000;21;10;-1
1267;16;1980;4;3;75;10;179
1269;0;1969;6;10000;64;14;-1
1276;0;1973;1;10000;6;5;-1
1276;40;1973;1;10000;3;30;-1
1286;0;1973;4;10000;50;13;-1
1286;40;1973;7;10000;88;38;-1
1286;16;1980;9;20;212;14;180
1290;0;1977;7;10000;124;0;-1
1290;16;1980;3;1;49;17;181
1295;16;1980;6;4;124;3;180
1296;0;1963;4;10000;18;0;-1
1297;0;1972;1;10000;4;0;-1
1298;0;1978;4;10000;59;10;-1
1301;0;1974;3;10000;39;13;-1
1301;40;1974;2;10000;26;38;-1
1303;0;1976;2;10000;28;19;-1
1303;40;1976;1;10000;4;36;-1
1306;0;1973;3;10000;47;5;-1
1306;40;1973;2;10000;16;39;-1
1306;16;1980;2;22;46;18;180
1307;0;1978;4;10000;62;9;-1
1308;16;1980;6;12;132;11;179
1309;0;1976;4;10000;61;16;-1
1309;40;1976;7;10000;73;32;-1
1314;0;1978;1;10000;1;12;-1
1319;16;1980;10;21;237;21;179
1320;0;1969;5;10000;59;10;-1
1321;16;1980;10;5;221;15;180
1328;0;1977;6;10000;101;3;-1
1332;0;1969;5;10000;55;3;-1
1333;16;1980;7;17;161;20;179
1341;40;1975;12;10000;152;36;-1
1352;0;1972;9;10000;131;18;-1
1353;0;1973;1;10000;7;15;-1
1353;40;1973;2;10000;14;30;-1
1356;0;1974;2;10000;36;5;-1
1356;40;1974;1;10000;14;29;-1
1357;16;1980;1;16;16;279;154
1361;0;1979;1;10000;13;10;-1
1362;0;1971;7;10000;95;0;-1
1365;0;1976;2;10000;20;16;-1
1365;40;1976;3;10000;36;27;-1
1369;16;1980;5;11;107;25;158
1371;0;1974;9;10000;155;3;-1
1375;0;1978;1;10000;15;20;-1
1376;16;1981;2;5;29;19;180
1385;0;1970;2;10000;22;3;-1
1391;0;1979;5;10000;105;23;-1
1395;0;1979;5;10000;88;22;-1
1402;0;1974;1;10000;12;0;-1
1403;0;1979;4;10000;72;3;-1
1403;16;1980;4;11;83;25;181
1405;16;1980;2;11;35;25;180
1408;16;1981;3;13;61;278;180
1409;0;1976;6;10000;98;18;-1
1409;40;1976;7;10000;77;39;-1
1410;16;1981;1;11;11;26;180
1411;16;1980;8;1;169;17;179
1431;16;1980;8;9;177;26;180
1432;0;1978;1;10000;2;22;-1
1433;0;1969;6;10000;61;12;-1
1440;0;1972;3;10000;39;14;-1
1443;16;1981;3;9;57;23;180
1448;0;1972;6;10000;92;12;-1
1456;0;1974;2;10000;31;3;-1
1456;40;1974;1;10000;3;32;-1
1461;0;1977;1;10000;6;8;-1
1461;40;1977;1;10000;5;36;-1
1461;16;1980;1;6;6;19;180
1463;16;1980;8;6;174;19;180
1466;0;1975;8;10000;132;3;-1
1466;40;1974;10;10000;147;35;-1
1470;0;1979;3;10000;52;15;-1
1470;16;1981;2;22;46;23;180
1474;0;1971;6;10000;83;10;-1
1477;0;1971;1;10000;8;14;-1
1477;16;1981;1;14;14;16;179
1478;0;1970;6;10000;81;10;-1
1484;0;1977;2;10000;20;19;-1
1484;40;1977;1;10000;8;28;-1
1485;16;1980;1;18;18;12;180
1492;16;1980;9;22;214;0;179
1496;16;1980;5;17;113;20;180
1500;16;1981;3;14;62;280;156
1508;16;1980;7;12;156;11;157
1510;0;1963;2;10000;11;8;-1
1513;0;1967;1;10000;1;11;-1
1516;0;1975;2;10000;34;0;-1
1516;40;1975;2;10000;20;38;-1
