PlayerId;TeamId;FranchiseId;Games Played;Games Started;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
1215;23;23;1;1;60;1;0;0;25;24;1;1.00;0;.960;88
1222;296;296;2;2;120;1;1;0;62;55;7;3.50;0;.887;59
1234;292;292;1;1;60;0;1;0;26;20;6;6.00;0;.769;25
1247;11;11;7;7;371;0;6;1;219;186;33;5.33;0;.849;50
1258;14;14;7;7;386;2;3;1;190;165;25;3.88;1;.868;57
1278;12;12;6;5;301;3;2;0;192;180;12;2.38;1;.938;77
1283;303;303;2;2;118;0;2;0;80;70;10;5.04;0;.875;61
1290;233;17;3;3;127;2;0;0;62;55;7;3.29;0;.887;59
1381;10;10;4;4;244;2;1;1;99;88;11;2.70;0;.889;61
1403;222;5;2;1;86;1;0;0;35;30;5;3.47;0;.857;49
1410;278;278;7;7;424;4;2;1;226;204;22;3.11;0;.903;68
1412;5;5;7;7;424;4;2;1;263;243;20;2.83;0;.924;78
1476;289;289;2;2;108;1;1;0;54;46;8;4.43;0;.852;51
1498;12;12;3;2;122;0;1;1;60;49;11;5.38;0;.817;40
1512;222;222;1;1;59;0;1;0;44;41;3;3.03;0;.932;83
1532;216;10;2;2;119;1;1;0;57;50;7;3.52;0;.877;56
1582;304;304;2;2;125;1;0;1;57;50;7;3.36;0;.877;65
1813;303;303;2;2;125;1;0;1;75;70;5;2.40;0;.933;81
2107;293;293;2;2;119;1;1;0;63;58;5;2.52;0;.921;74
2223;233;233;2;1;116;1;0;0;75;70;5;2.57;0;.933;78
2264;284;284;2;2;120;2;0;0;56;54;2;1.00;1;.964;83
2313;290;290;2;2;120;2;0;0;58;51;7;3.50;0;.879;59
2347;290;290;2;2;120;0;2;0;74;63;11;5.50;0;.851;48
2381;282;282;2;2;119;0;2;0;58;45;13;6.55;0;.776;25
2395;21;21;1;1;60;1;0;0;26;24;2;2.00;0;.923;75
2430;286;286;2;2;118;0;2;0;69;60;9;4.57;0;.870;53
2441;298;298;2;2;118;1;1;0;45;40;5;2.53;0;.889;67
2476;218;218;3;3;129;0;3;0;92;73;19;8.81;0;.793;28
2516;287;287;2;2;120;2;0;0;55;51;4;2.00;0;.927;78
2562;21;21;6;6;314;1;4;1;256;224;32;6.10;0;.875;57
2563;279;279;1;0;27;0;0;0;7;6;1;2.22;0;.857;49
2623;295;295;2;2;121;1;1;0;55;49;6;2.97;0;.891;56
2646;17;17;3;3;156;1;2;0;63;52;11;4.22;0;.825;42
2668;292;292;3;3;179;2;1;0;62;58;4;1.33;1;.935;73
2679;293;293;2;2;118;0;2;0;76;66;10;5.06;0;.868;59
2721;17;17;5;4;262;4;0;0;94;87;7;1.60;0;.926;68
2722;291;291;3;3;178;0;3;0;96;82;14;4.69;0;.854;44
2780;283;283;2;2;125;0;1;1;62;53;9;4.32;0;.855;49
2792;297;297;2;2;73;0;2;0;40;32;8;6.55;0;.800;33
2805;26;26;3;2;148;0;2;0;117;105;12;4.86;0;.897;66
2810;289;289;3;2;131;2;0;0;61;58;3;1.37;0;.951;69
2820;222;222;2;2;92;1;1;0;33;26;7;4.53;0;.788;41
2824;302;302;2;2;118;0;2;0;52;45;7;3.55;0;.865;47
2881;300;300;1;1;60;1;0;0;21;20;1;1.00;0;.952;77
3209;226;226;3;2;124;0;2;0;87;82;5;2.41;0;.943;74
3293;285;285;2;2;120;2;0;0;65;59;6;3.00;0;.908;66
3395;236;25;2;2;120;2;0;0;38;33;5;2.50;0;.868;55
3398;294;294;2;2;120;2;0;0;40;38;2;1.00;1;.950;72
3660;224;224;1;1;60;1;0;0;23;20;3;3.00;0;.870;57
4319;236;15;1;1;60;1;0;0;27;25;2;2.00;0;.926;64
4342;0;0;1;1;60;1;0;0;32;30;2;2.00;0;.938;82
4437;20;20;6;6;329;2;4;0;214;194;20;3.64;0;.907;66
4536;287;287;2;2;119;0;2;0;65;57;8;4.02;0;.877;63
4550;25;25;6;6;330;2;4;0;255;232;23;4.18;1;.910;67
4551;237;8;3;3;185;1;1;1;88;77;11;3.57;0;.875;60
4571;214;11;4;2;192;0;1;1;78;64;14;4.36;0;.821;44
4672;294;294;2;2;121;1;1;0;60;57;3;1.48;0;.950;91
4700;302;302;2;2;120;1;1;0;65;60;5;2.50;0;.923;69
4776;11;11;3;0;53;0;0;0;41;38;3;3.37;0;.927;55
4788;14;14;1;0;40;0;0;0;13;12;1;1.50;0;.923;62
4798;223;9;3;2;140;2;0;0;47;43;4;1.71;0;.915;60
4874;305;305;2;2;120;1;1;0;61;52;9;4.50;0;.852;52
4943;226;226;2;2;113;0;2;0;58;48;10;5.27;0;.828;48
4975;218;218;2;1;109;0;1;0;70;66;4;2.20;0;.943;89
5016;288;288;2;2;67;1;1;0;26;20;6;5.35;0;.769;37
5024;23;23;3;3;185;2;0;1;82;78;4;1.30;0;.951;81
5054;223;9;2;2;99;2;0;0;49;42;7;4.22;0;.857;47
5090;214;214;2;2;51;0;2;0;28;20;8;9.37;0;.714;22
5252;21;21;2;0;50;0;0;0;41;34;7;8.33;0;.829;42
5426;216;216;2;2;119;1;1;0;78;68;10;5.03;0;.872;56
5468;282;282;2;2;124;0;1;1;67;60;7;3.37;0;.896;62
