,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ART ROSS TROPHY,,,,RICHARD TROPHY,,,,NORRIS TROPHY,,,,BOURQUE TROPHY,,,,LANGWAY TROPHY,,,,CALDER TROPHY,,,,SELKE TROPHY,,
Season's Leading Scorer,,,,Season's Goal Scoring Leader,,,,Season's Best Defenseman,,,,Season's Goal Scoring Leader - Defensemen,,,,Season's Best Defensive Defenseman,,,,Season's Rookie of the Year,,,,Season's Best Defensive Forward,,
Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player
1948-49,,Al Rollins,,1948-49,,Paul Ronty,,1948-49,,Sid Smith,,1948-49,,Gaye Stewart,,1948-49,,Skyler,,1948-49,,Al Rollins,,1948-49,,Gaye Stewart
1949-50,,Terry Sawchuk,,1949-50,,Kenny Smith,,1949-50,,Cal Gardner,,1949-50,,Gordie Howe,,1949-50,,Jack Adams,,1949-50,,Al Rollins,,1949-50,,Gordie Howe
1950-51,,Terry Sawchuk,,1950-51,,Sid Smith,,1950-51,,Sid Smith,,1950-51,,Gordie Howe,,1950-51,,OilEmpire,,1950-51,,Chuck Rayner / Glenn Hall,,1950-51,,Gordie Howe
1951-52,,Glenn Hall,,1951-52,,Andy Hebenton,,1951-52,,Wally Hergeshimer,,1951-52,,Gordie Howe,,1951-52,,Skyler,,1951-52,,Chuck Rayner / Glenn Hall,,1951-52,,Gordie Howe
1952-53,,Jacques Plante,,1952-53,,Don Raleigh,,1952-53,,Doug Harvey,,1952-53,,Gordie Howe,,1952-53,,OilEmpire,,1952-53,,Jacques Plante,,1952-53,,Jean Beliveau
1953-54,,Jacques Plante,,1953-54,,Red Kelly,,1953-54,,Jean Beliveau,,1953-54,,Jean Beliveau,,1953-54,,Jack Adams,,1953-54,,Emile Francis / Glenn Hall,,1953-54,,Jean Beliveau
1954-55,,Terry Sawchuk,,1954-55,,Max McNab,,1954-55,,Gordie Howe,,1954-55,,Jean Beliveau,,1954-55,,MSO94,,1954-55,,Terry Sawchuk / Harry Lumley,,1954-55,,Jean Beliveau
1955-56,,Glenn Hall,,1955-56,,Ray Powell,,1955-56,,Gordie Howe,,1955-56,,Jean Beliveau,,1955-56,,Choog,,1955-56,,Glenn Hall,,1955-56,,Jean Beliveau
1956-57,,Glenn Hall,,1956-57,,Alex Delvecchio,,1956-57,,Maurice Richard,,1956-57,,Gordie Howe,,1956-57,,Jack Adams,,1956-57,,Glenn Hall,,1956-57,,Alex Delvecchio
1957-58,,Glenn Hall,,1957-58,,Johnny Bucyk,,1957-58,,Henri Richard,,1957-58,,Jean Beliveau,,1957-58,,Joey,,1957-58,,Hank Bassen,,1957-58,,Jean Beliveau
