,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ART ROSS TROPHY,,,,RICHARD TROPHY,,,,NORRIS TROPHY,,,,BOURQUE TROPHY,,,,LANGWAY TROPHY,,,,CALDER TROPHY,,,,SELKE TROPHY,,
Season's Leading Scorer,,,,Season's Goal Scoring Leader,,,,Season's Best Defenseman,,,,Season's Goal Scoring Leader - Defensemen,,,,Season's Best Defensive Defenseman,,,,Season's Rookie of the Year,,,,Season's Best Defensive Forward,,
Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player
1985-86,,Mario Lemieux,,1985-86,,Vancouver Giants,,1985-86,,Pittsburgh Penguins,,1985-86,,Tokyo Katanas,,1985-86,,Tokyo Katanas,,1985-86,,Skyvendrake,,1985-86,,Sidney Crosby
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGER CROZIER SAVING GRACE TROPHY,,,,PLUS/MINUS TROPHY,,,,THE MASTERS' GREEN JACKET,,,,BOWL RISING STAR,,,,,,,,,,,,,,
Season's Best Save Percentage,,,,Best Plus/Minus Award,,,,Worst Plus/Minus Award,,,,Prospect of the Year,,,,,,,,,,,,,,
Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,,,,,,,,,,,
1979-80,,Doug Favell,,1979-80,,Brent Burns,,1979-80,,Alex Goligoski (-88),,1979-80,,Connor Bedard,,,,,,,,,,,,
1980-81,,Doug Favell,,1980-81,,Brenden Dillon,,1980-81,,Daniel Briere (-59),,1980-81,,Aaron Ekblad,,,,,,,,,,,,
1981-82,,Jordan Binnington,,1981-82,,Mario Lemieux,,1981-82,,Stefan Persson (-58),,1981-82,,Bob Carpenter,,,,,,,,,,,,
1982-83,,Dwayne Roloson,,1982-83,,Doug Harvey,,1982-83,,John Quenneville (-80),,1982-83,,Jim Schoenfeld,,,,,,,,,,,,
1983-84,,Pelle Lindbergh,,1983-84,,Ching Johnson,,1983-84,,Lance Pitlick (-69),,1983-84,,Brayden Schenn,,,,,,,,,,,,
1984-85,,Niklas Backstrom,,1984-85,,Ricky LaFleur,,1984-85,,Chris Pronger (-57),,1984-85,,Andrei Svechnikov,,,,,,,,,,,,
1985-86,,John Gibson,,1985-86,,Doug Harvey,,1985-86,,Tom Chorske (-60),,1985-86,,Andrew Cassels,,,,,,,,,,,,
,,,,,,,,(tie),,Howie Morenz (-60),,,,,,,,,,,,,,,,
